Код ID;Наименование;Краткое описание;Маленькая картинка;Подробное описание;Большая картинка;Склад;Цена1;Цена2;Цена3;Цена4;Цена5;Вес;Артикул;Кaтегория ID; Доп. каталоги;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение
;Мотоблок Салют 5Л;Мотоблок Салют - многофункциональная сельскохозяйственная машина, предназначенная для работы на площади до 20 соток, которая может работать в разных климатических условиях. Различные комплектации предусматривают полупрофессиональные и профессиональные японские двигатели Honda и Robin-Subaru соответственно, а также профессиональный китайский двигатель Lianlong. Мотоблок может обрабатывать почву, перевозить грузы, осуществлять подачу воды, окучивать и выкапывать картофель, косить траву, убирать снег при помощи дополнительного навесного оборудования.;/UserFiles/Image/shop/salut_5l-mini.png;"Мотоблок Салют - многофункциональная сельскохозяйственная машина, предназначенная для работы на площади до 20 соток, которая может работать в разных климатических условиях. Различные комплектации предусматривают полупрофессиональные и профессиональные японские двигатели Honda и Subaru соответственно, а также профессиональный китайский двигатель Lianlong. Мотоблок может обрабатывать почву, перевозить грузы, осуществлять подачу воды, окучивать и выкапывать картофель, косить траву, убирать снег при помощи дополнительного навесного оборудования. Салюты способны выполнять работы по уборке территорий, для этого предусмотрены лопата-отвал, щетка и снегоуборщик. Имеется задняя передача в коробке скоростей. На ней мотоблоки передвигаются при оснащении навесным оборудованием, требующим отбора мощности. При этом необходимо развернуть рулевую колонку. Важное качество - полностью шестеренчатый редуктор. Задняя скорость включается в коробке передач и способна передавать весь крутящий момент, развиваемый двигателем, что особенно важно при транспортировке грузов. Высокая надежность трансмиссии в сочетании с импортными двигателями делает мотоблоки долговечными и неприхотливыми.
Сцепление выполнено на двух ремнях. Мотоблоки оснащены регулируемой по высоте рулевой колонкой. Передачи переключаются рычагом, расположенным на корпусе редуктора.";/UserFiles/Image/shop/salut_5l.png;99;24990;0;0;0;0;;;;;;;;;;;;;;;;;;
;Мотоблок Салют 5Х;Мотоблок Салют - многофункциональная сельскохозяйственная машина, предназначенная для работы на площади до 20 соток, которая может работать в разных климатических условиях. Различные комплектации предусматривают полупрофессиональные и профессиональные японские двигатели Honda и Robin-Subaru соответственно, а также профессиональный китайский двигатель Lianlong. Мотоблок может обрабатывать почву, перевозить грузы, осуществлять подачу воды, окучивать и выкапывать картофель, косить траву, убирать снег при помощи дополнительного навесного оборудования.;/UserFiles/Image/shop/salut_5l-mini.png;"Мотоблок Салют - многофункциональная сельскохозяйственная машина, предназначенная для работы на площади до 20 соток, которая может работать в разных климатических условиях. Различные комплектации предусматривают полупрофессиональные и профессиональные японские двигатели Honda и Subaru соответственно, а также профессиональный китайский двигатель Lianlong. Мотоблок может обрабатывать почву, перевозить грузы, осуществлять подачу воды, окучивать и выкапывать картофель, косить траву, убирать снег при помощи дополнительного навесного оборудования. Салюты способны выполнять работы по уборке территорий, для этого предусмотрены лопата-отвал, щетка и снегоуборщик. Имеется задняя передача в коробке скоростей. На ней мотоблоки передвигаются при оснащении навесным оборудованием, требующим отбора мощности. При этом необходимо развернуть рулевую колонку. Важное качество - полностью шестеренчатый редуктор. Задняя скорость включается в коробке передач и способна передавать весь крутящий момент, развиваемый двигателем, что особенно важно при транспортировке грузов. Высокая надежность трансмиссии в сочетании с импортными двигателями делает мотоблоки долговечными и неприхотливыми.
Сцепление выполнено на двух ремнях. Мотоблоки оснащены регулируемой по высоте рулевой колонкой. Передачи переключаются рычагом, расположенным на корпусе редуктора.";/UserFiles/Image/shop/salut_5l.png;99;33000;0;0;0;0;;;;;;;;;;;;;;;;;;
;Мотоблок Салют 5Р6;Мотоблок Салют - многофункциональная сельскохозяйственная машина, предназначенная для работы на площади до 20 соток, которая может работать в разных климатических условиях. Различные комплектации предусматривают полупрофессиональные и профессиональные японские двигатели Honda и Robin-Subaru соответственно, а также профессиональный китайский двигатель Lianlong. Мотоблок может обрабатывать почву, перевозить грузы, осуществлять подачу воды, окучивать и выкапывать картофель, косить траву, убирать снег при помощи дополнительного навесного оборудования.;/UserFiles/Image/shop/salut_5l-mini.png;"Мотоблок Салют - многофункциональная сельскохозяйственная машина, предназначенная для работы на площади до 20 соток, которая может работать в разных климатических условиях. Различные комплектации предусматривают полупрофессиональные и профессиональные японские двигатели Honda и Subaru соответственно, а также профессиональный китайский двигатель Lianlong. Мотоблок может обрабатывать почву, перевозить грузы, осуществлять подачу воды, окучивать и выкапывать картофель, косить траву, убирать снег при помощи дополнительного навесного оборудования. Салюты способны выполнять работы по уборке территорий, для этого предусмотрены лопата-отвал, щетка и снегоуборщик. Имеется задняя передача в коробке скоростей. На ней мотоблоки передвигаются при оснащении навесным оборудованием, требующим отбора мощности. При этом необходимо развернуть рулевую колонку. Важное качество - полностью шестеренчатый редуктор. Задняя скорость включается в коробке передач и способна передавать весь крутящий момент, развиваемый двигателем, что особенно важно при транспортировке грузов. Высокая надежность трансмиссии в сочетании с импортными двигателями делает мотоблоки долговечными и неприхотливыми.
Сцепление выполнено на двух ремнях. Мотоблоки оснащены регулируемой по высоте рулевой колонкой. Передачи переключаются рычагом, расположенным на корпусе редуктора.";/UserFiles/Image/shop/salut_5l.png;99;34000;0;0;0;0;;;;;;;;;;;;;;;;;;
;Мотоблок МБ-1Д1М12 Ока;Многофункциональный агрегат с высокими эксплуатационными качествами, предназначенный для обработки приусадебных участков, привода различных навесных агрегатов и транспортировки грузов. В комплекте с мотоблоком Ока может использоваться следующее навесное оборудование: плуг, окучник, картофелевыкапыватель, грунтозацепы, косилка, снегоуборщик, водяной насос, тележка и пр. В комплекте с навесным оборудованием мотоблоки МБ-1 могут вспахивать, культивировать землю, окучивать и выкапывать овощи, перевозить грузы, косить и т.д.;/UserFiles/Image/shop/oka_ll_mini.png;Многофункциональный агрегат с высокими эксплуатационными качествами, предназначенный для обработки приусадебных участков, привода различных навесных агрегатов и транспортировки грузов. В комплекте с мотоблоком Ока может использоваться следующее навесное оборудование: плуг, окучник, картофелевыкапыватель, грунтозацепы, косилка, снегоуборщик, водяной насос, тележка и пр. В комплекте с навесным оборудованием мотоблоки МБ-1 могут вспахивать, культивировать землю, окучивать и выкапывать овощи, перевозить грузы, косить и т.д.;/UserFiles/Image/shop/oka_ll.png;99;25990;;;;;;;;;;;;;;;;;;;;;;
;Мотоблок МБ-1Д1М13 Ока;Многофункциональный агрегат с высокими эксплуатационными качествами, предназначенный для обработки приусадебных участков, привода различных навесных агрегатов и транспортировки грузов. В комплекте с мотоблоком Ока может использоваться следующее навесное оборудование: плуг, окучник, картофелевыкапыватель, грунтозацепы, косилка, снегоуборщик, водяной насос, тележка и пр. В комплекте с навесным оборудованием мотоблоки МБ-1 могут вспахивать, культивировать землю, окучивать и выкапывать овощи, перевозить грузы, косить и т.д.;/UserFiles/Image/shop/oka_rs-mini.png;Многофункциональный агрегат с высокими эксплуатационными качествами, предназначенный для обработки приусадебных участков, привода различных навесных агрегатов и транспортировки грузов. В комплекте с мотоблоком Ока может использоваться следующее навесное оборудование: плуг, окучник, картофелевыкапыватель, грунтозацепы, косилка, снегоуборщик, водяной насос, тележка и пр. В комплекте с навесным оборудованием мотоблоки МБ-1 могут вспахивать, культивировать землю, окучивать и выкапывать овощи, перевозить грузы, косить и т.д.;/UserFiles/Image/shop/oka_rs.png;99;31500;;;;;;;;;;;;;;;;;;;;;;
;Мотоблок НМБ-1Н2 Угра;Мотоблоки серии НМБ-1 Угра – многофункциональные компактные агрегаты предназначены для выполнения полного комплекса сельскохозяйственных, транспортировочных и коммунальных работ. Отличительными особенностями являются трехступенчатая коробка передач, усиленная рулевая колонка, облегченная конструкция, два вала отбора мощности.;/UserFiles/Image/shop/ugra_GX200-mini.png;"Мотоблоки серии НМБ-1 Угра – многофункциональные компактные агрегаты предназначены для выполнения полного комплекса сельскохозяйственных, транспортировочных и коммунальных работ. Отличительными особенностями являются трехступенчатая коробка передач, усиленная рулевая колонка, облегченная конструкция, два вала отбора мощности. Главная передача - коническая, прямозубая, состоит из двух пар конических шестерен.
Сцепление - многодисковое, мокрое, с диафрагменной пружиной. Привод выключения - механический тросовый.
Наличие двух валов отбора мощности с частотой вращения, не зависящей от скорости движения мотоблока на одном и зависящей на другом, позволяет использовать более широкий диапазон навесного и прицепного оборудования.
Рулевая колонка легко регулируется как в вертикальной, так и в горизонтальной плоскостях, установлена на сайлент-блоках - благодаря этому удалось снизить вибрацию и значительно облегчить работу оператора. на ручки руля вынесено управление сцеплением, двигателем, муфтой безопасности заднего хода, включение зажигания двигателя, рычаг переключения передач которого расположен у рулевой колонки.
При минимальной разборке мотоблок легко помещается в багажник любого легкового автомобиля, что значительно облегчает транспортировку.";/UserFiles/Image/shop/ugra_GX200.png;99;39000;;;;;;;;;;;;;;;;;;;;;;
;Мотоблок НМБ-1Н9 Угра;Мотоблоки серии НМБ-1 Угра – многофункциональные компактные агрегаты предназначены для выполнения полного комплекса сельскохозяйственных, транспортировочных и коммунальных работ. Отличительными особенностями являются трехступенчатая коробка передач, усиленная рулевая колонка, облегченная конструкция, два вала отбора мощности.;/UserFiles/Image/shop/ugra_rs_mini.png;"Мотоблоки серии НМБ-1 Угра – многофункциональные компактные агрегаты предназначены для выполнения полного комплекса сельскохозяйственных, транспортировочных и коммунальных работ. Отличительными особенностями являются трехступенчатая коробка передач, усиленная рулевая колонка, облегченная конструкция, два вала отбора мощности. Главная передача - коническая, прямозубая, состоит из двух пар конических шестерен.
Сцепление - многодисковое, мокрое, с диафрагменной пружиной. Привод выключения - механический тросовый.
Наличие двух валов отбора мощности с частотой вращения, не зависящей от скорости движения мотоблока на одном и зависящей на другом, позволяет использовать более широкий диапазон навесного и прицепного оборудования.
Рулевая колонка легко регулируется как в вертикальной, так и в горизонтальной плоскостях, установлена на сайлент-блоках - благодаря этому удалось снизить вибрацию и значительно облегчить работу оператора. на ручки руля вынесено управление сцеплением, двигателем, муфтой безопасности заднего хода, включение зажигания двигателя, рычаг переключения передач которого расположен у рулевой колонки.
При минимальной разборке мотоблок легко помещается в багажник любого легкового автомобиля, что значительно облегчает транспортировку.";/UserFiles/Image/shop/ugra_rs.png;99;39500;;;;;;;;;;;;;;;;;;;;;;
;Мотоблок НМБ-1Н10 Угра;Мотоблоки серии НМБ-1 Угра – многофункциональные компактные агрегаты предназначены для выполнения полного комплекса сельскохозяйственных, транспортировочных и коммунальных работ. Отличительными особенностями являются трехступенчатая коробка передач, усиленная рулевая колонка, облегченная конструкция, два вала отбора мощности.;/UserFiles/Image/shop/ugra_rs_mini.png;"Мотоблоки серии НМБ-1 Угра – многофункциональные компактные агрегаты предназначены для выполнения полного комплекса сельскохозяйственных, транспортировочных и коммунальных работ. Отличительными особенностями являются трехступенчатая коробка передач, усиленная рулевая колонка, облегченная конструкция, два вала отбора мощности. Главная передача - коническая, прямозубая, состоит из двух пар конических шестерен.
Сцепление - многодисковое, мокрое, с диафрагменной пружиной. Привод выключения - механический тросовый.
Наличие двух валов отбора мощности с частотой вращения, не зависящей от скорости движения мотоблока на одном и зависящей на другом, позволяет использовать более широкий диапазон навесного и прицепного оборудования.
Рулевая колонка легко регулируется как в вертикальной, так и в горизонтальной плоскостях, установлена на сайлент-блоках - благодаря этому удалось снизить вибрацию и значительно облегчить работу оператора. на ручки руля вынесено управление сцеплением, двигателем, муфтой безопасности заднего хода, включение зажигания двигателя, рычаг переключения передач которого расположен у рулевой колонки.
При минимальной разборке мотоблок легко помещается в багажник любого легкового автомобиля, что значительно облегчает транспортировку.";/UserFiles/Image/shop/ugra_rs.png;99;42000;;;;;;;;;;;;;;;;;;;;;;
Править;Мотоблок НМБ-1Н? Угра;Мотоблоки серии НМБ-1 Угра – многофункциональные компактные агрегаты предназначены для выполнения полного комплекса сельскохозяйственных, транспортировочных и коммунальных работ. Отличительными особенностями являются трехступенчатая коробка передач, усиленная рулевая колонка, облегченная конструкция, два вала отбора мощности.;/UserFiles/Image/shop/ugra_ll_mini.png;"Мотоблоки серии НМБ-1 Угра – многофункциональные компактные агрегаты предназначены для выполнения полного комплекса сельскохозяйственных, транспортировочных и коммунальных работ. Отличительными особенностями являются трехступенчатая коробка передач, усиленная рулевая колонка, облегченная конструкция, два вала отбора мощности. Главная передача - коническая, прямозубая, состоит из двух пар конических шестерен.
Сцепление - многодисковое, мокрое, с диафрагменной пружиной. Привод выключения - механический тросовый.
Наличие двух валов отбора мощности с частотой вращения, не зависящей от скорости движения мотоблока на одном и зависящей на другом, позволяет использовать более широкий диапазон навесного и прицепного оборудования.
Рулевая колонка легко регулируется как в вертикальной, так и в горизонтальной плоскостях, установлена на сайлент-блоках - благодаря этому удалось снизить вибрацию и значительно облегчить работу оператора. на ручки руля вынесено управление сцеплением, двигателем, муфтой безопасности заднего хода, включение зажигания двигателя, рычаг переключения передач которого расположен у рулевой колонки.
При минимальной разборке мотоблок легко помещается в багажник любого легкового автомобиля, что значительно облегчает транспортировку.";/UserFiles/Image/shop/ugra_ll.png;99;31500;;;;;;;;;;;;;;;;;;;;;;
;Мотоблок МБ-2Н Нева;Мотоблок МБ-2 Нева относится к мотоблокам среднего класса. Предназначен для эксплуатации на садовых участках, небольших фермерских и коммунальных хозяйствах. Особенностью мотоблока Нева является хорошо подобранная трансмиссия, позволяющая эффективно выполнять практически все агротехнические операции при обработке приусадебного участка площадью 20 соток и более, включая транспортную операцию по перевозке грузов на тележке, со скоростью до 12 км/ч. Наряду с отечественным двигателем выпускаются несколько модификаций мотоблока МБ-2 Нева с двигателями всемирно известных мировых производителей: компаний Briggs&Stratton, Subaru, Honda.;/UserFiles/Image/shop/neva_2h-mini.png;Мотоблок МБ-2 Нева относится к мотоблокам среднего класса. Предназначен для эксплуатации на садовых участках, небольших фермерских и коммунальных хозяйствах. Особенностью мотоблока Нева является хорошо подобранная трансмиссия, позволяющая эффективно выполнять практически все агротехнические операции при обработке приусадебного участка площадью 20 соток и более, включая транспортную операцию по перевозке грузов на тележке, со скоростью до 12 км/ч. Наряду с отечественным двигателем выпускаются несколько модификаций мотоблока МБ-2 Нева с двигателями всемирно известных мировых производителей: компаний Briggs&Stratton, Subaru, Honda.;/UserFiles/Image/shop/neva_2h.png;99;34990;;;;;;;;;;;;;;;;;;;;;;
;Мотоблок МБ-2С-6,0 PRO Нева;Мотоблок МБ-2 Нева относится к мотоблокам среднего класса. Предназначен для эксплуатации на садовых участках, небольших фермерских и коммунальных хозяйствах. Особенностью мотоблока Нева является хорошо подобранная трансмиссия, позволяющая эффективно выполнять практически все агротехнические операции при обработке приусадебного участка площадью 20 соток и более, включая транспортную операцию по перевозке грузов на тележке, со скоростью до 12 км/ч. Наряду с отечественным двигателем выпускаются несколько модификаций мотоблока МБ-2 Нева с двигателями всемирно известных мировых производителей: компаний Briggs&Stratton, Subaru, Honda.;/UserFiles/Image/shop/neva_rs60-mini.png;Мотоблок МБ-2 Нева относится к мотоблокам среднего класса. Предназначен для эксплуатации на садовых участках, небольших фермерских и коммунальных хозяйствах. Особенностью мотоблока Нева является хорошо подобранная трансмиссия, позволяющая эффективно выполнять практически все агротехнические операции при обработке приусадебного участка площадью 20 соток и более, включая транспортную операцию по перевозке грузов на тележке, со скоростью до 12 км/ч. Наряду с отечественным двигателем выпускаются несколько модификаций мотоблока МБ-2 Нева с двигателями всемирно известных мировых производителей: компаний Briggs&Stratton, Subaru, Honda.;/UserFiles/Image/shop/neva_rs60.png;99;35500;;;;;;;;;;;;;;;;;;;;;;
;Мотоблок МБ-2С-7,0 PRO Нева;Мотоблок МБ-2 Нева относится к мотоблокам среднего класса. Предназначен для эксплуатации на садовых участках, небольших фермерских и коммунальных хозяйствах. Особенностью мотоблока Нева является хорошо подобранная трансмиссия, позволяющая эффективно выполнять практически все агротехнические операции при обработке приусадебного участка площадью 20 соток и более, включая транспортную операцию по перевозке грузов на тележке, со скоростью до 12 км/ч. Наряду с отечественным двигателем выпускаются несколько модификаций мотоблока МБ-2 Нева с двигателями всемирно известных мировых производителей: компаний Briggs&Stratton, Subaru, Honda.;/UserFiles/Image/shop/neva_rs70-mini.png;Мотоблок МБ-2 Нева относится к мотоблокам среднего класса. Предназначен для эксплуатации на садовых участках, небольших фермерских и коммунальных хозяйствах. Особенностью мотоблока Нева является хорошо подобранная трансмиссия, позволяющая эффективно выполнять практически все агротехнические операции при обработке приусадебного участка площадью 20 соток и более, включая транспортную операцию по перевозке грузов на тележке, со скоростью до 12 км/ч. Наряду с отечественным двигателем выпускаются несколько модификаций мотоблока МБ-2 Нева с двигателями всемирно известных мировых производителей: компаний Briggs&Stratton, Subaru, Honda.;/UserFiles/Image/shop/neva_rs70.png;99;36990;;;;;;;;;;;;;;;;;;;;;;
;Мотоблок МБ-2Б-6,0 Нева;Мотоблок МБ-2 Нева относится к мотоблокам среднего класса. Предназначен для эксплуатации на садовых участках, небольших фермерских и коммунальных хозяйствах. Особенностью мотоблока Нева является хорошо подобранная трансмиссия, позволяющая эффективно выполнять практически все агротехнические операции при обработке приусадебного участка площадью 20 соток и более, включая транспортную операцию по перевозке грузов на тележке, со скоростью до 12 км/ч. Наряду с отечественным двигателем выпускаются несколько модификаций мотоблока МБ-2 Нева с двигателями всемирно известных мировых производителей: компаний Briggs&Stratton, Subaru, Honda.;/UserFiles/Image/shop/neva_2b60-mini.png;Мотоблок МБ-2 Нева относится к мотоблокам среднего класса. Предназначен для эксплуатации на садовых участках, небольших фермерских и коммунальных хозяйствах. Особенностью мотоблока Нева является хорошо подобранная трансмиссия, позволяющая эффективно выполнять практически все агротехнические операции при обработке приусадебного участка площадью 20 соток и более, включая транспортную операцию по перевозке грузов на тележке, со скоростью до 12 км/ч. Наряду с отечественным двигателем выпускаются несколько модификаций мотоблока МБ-2 Нева с двигателями всемирно известных мировых производителей: компаний Briggs&Stratton, Subaru, Honda.;/UserFiles/Image/shop/neva_2b60.png;99;31500;;;;;;;;;;;;;;;;;;;;;;
;Мотоблок МБ-2Б-6,5 PRO Нева;Мотоблок МБ-2 Нева относится к мотоблокам среднего класса. Предназначен для эксплуатации на садовых участках, небольших фермерских и коммунальных хозяйствах. Особенностью мотоблока Нева является хорошо подобранная трансмиссия, позволяющая эффективно выполнять практически все агротехнические операции при обработке приусадебного участка площадью 20 соток и более, включая транспортную операцию по перевозке грузов на тележке, со скоростью до 12 км/ч. Наряду с отечественным двигателем выпускаются несколько модификаций мотоблока МБ-2 Нева с двигателями всемирно известных мировых производителей: компаний Briggs&Stratton, Subaru, Honda.;/UserFiles/Image/shop/neva_2b65-mini.png;Мотоблок МБ-2 Нева относится к мотоблокам среднего класса. Предназначен для эксплуатации на садовых участках, небольших фермерских и коммунальных хозяйствах. Особенностью мотоблока Нева является хорошо подобранная трансмиссия, позволяющая эффективно выполнять практически все агротехнические операции при обработке приусадебного участка площадью 20 соток и более, включая транспортную операцию по перевозке грузов на тележке, со скоростью до 12 км/ч. Наряду с отечественным двигателем выпускаются несколько модификаций мотоблока МБ-2 Нева с двигателями всемирно известных мировых производителей: компаний Briggs&Stratton, Subaru, Honda.;/UserFiles/Image/shop/neva_2b65.png;99;33900;;;;;;;;;;;;;;;;;;;;;;
;Мотоблок МБ-2Б-7,5 PRO Нева;Мотоблок МБ-2 Нева относится к мотоблокам среднего класса. Предназначен для эксплуатации на садовых участках, небольших фермерских и коммунальных хозяйствах. Особенностью мотоблока Нева является хорошо подобранная трансмиссия, позволяющая эффективно выполнять практически все агротехнические операции при обработке приусадебного участка площадью 20 соток и более, включая транспортную операцию по перевозке грузов на тележке, со скоростью до 12 км/ч. Наряду с отечественным двигателем выпускаются несколько модификаций мотоблока МБ-2 Нева с двигателями всемирно известных мировых производителей: компаний Briggs&Stratton, Subaru, Honda.;/UserFiles/Image/shop/neva_2b65-mini.png;Мотоблок МБ-2 Нева относится к мотоблокам среднего класса. Предназначен для эксплуатации на садовых участках, небольших фермерских и коммунальных хозяйствах. Особенностью мотоблока Нева является хорошо подобранная трансмиссия, позволяющая эффективно выполнять практически все агротехнические операции при обработке приусадебного участка площадью 20 соток и более, включая транспортную операцию по перевозке грузов на тележке, со скоростью до 12 км/ч. Наряду с отечественным двигателем выпускаются несколько модификаций мотоблока МБ-2 Нева с двигателями всемирно известных мировых производителей: компаний Briggs&Stratton, Subaru, Honda.;/UserFiles/Image/shop/neva_2b65.png;99;37000;;;;;;;;;;;;;;;;;;;;;;
;Мотоблок МБ-2К-7,5 Нева;Мотоблок МБ-2 Нева относится к мотоблокам среднего класса. Предназначен для эксплуатации на садовых участках, небольших фермерских и коммунальных хозяйствах. Особенностью мотоблока Нева является хорошо подобранная трансмиссия, позволяющая эффективно выполнять практически все агротехнические операции при обработке приусадебного участка площадью 20 соток и более, включая транспортную операцию по перевозке грузов на тележке, со скоростью до 12 км/ч. Наряду с отечественным двигателем выпускаются несколько модификаций мотоблока МБ-2 Нева с двигателями всемирно известных мировых производителей: компаний Briggs&Stratton, Subaru, Honda.;/UserFiles/Image/shop/neva_2h-mini.png;Мотоблок МБ-2 Нева относится к мотоблокам среднего класса. Предназначен для эксплуатации на садовых участках, небольших фермерских и коммунальных хозяйствах. Особенностью мотоблока Нева является хорошо подобранная трансмиссия, позволяющая эффективно выполнять практически все агротехнические операции при обработке приусадебного участка площадью 20 соток и более, включая транспортную операцию по перевозке грузов на тележке, со скоростью до 12 км/ч. Наряду с отечественным двигателем выпускаются несколько модификаций мотоблока МБ-2 Нева с двигателями всемирно известных мировых производителей: компаний Briggs&Stratton, Subaru, Honda.;/UserFiles/Image/shop/neva_2h.png;99;31000;;;;;;;;;;;;;;;;;;;;;;
;Двигатель Honda GX200;;/UserFiles/Image/shop/honda-gx-200-mini.png;;/UserFiles/Image/shop/honda-gx-200.png;99;15490;;;;;;;;;;;;;;;;;;;;;;
;Двигатель Subaru EX17;;/UserFiles/Image/shop/ex-17-mini.png;;/UserFiles/Image/shop/ex-17.png;99;13500;;;;;;;;;;;;;;;;;;;;;;
;Двигатель Subaru EX21;;/UserFiles/Image/shop/ex-21-mini.png;;/UserFiles/Image/shop/ex-21.png;99;16490;;;;;;;;;;;;;;;;;;;;;;
;Двигатель Subaru EX17 Premium;;/UserFiles/Image/shop/ex-17-mini.png;;/UserFiles/Image/shop/ex-17.png;99;13500;;;;;;;;;;;;;;;;;;;;;;
;Двигатель Subaru EX21 Premium;;/UserFiles/Image/shop/ex-21-mini.png;;/UserFiles/Image/shop/ex-21.png;99;15500;;;;;;;;;;;;;;;;;;;;;;
;Двигатель Kohler Command PRO CH270;;/UserFiles/Image/shop/KOHLER-LOMBARDINI-COMMAND-PRO-CH270-mini.png;;/UserFiles/Image/shop/KOHLER-LOMBARDINI-COMMAND-PRO-CH270.png;99;14500;16900;;;;;;;;;;;;;;;;;;;;;
;Двигатель Kohler Command PRO CH395;;/UserFiles/Image/shop/kohler-ch395-mini.png;;/UserFiles/Image/shop/kohler-ch395.png;99;23900;;;;;;;;;;;;;;;;;;;;;;
;Двигатель Briggs&Stratton VANGUARD™ OHV 6,5 13Н3;;/UserFiles/Image/shop/briggs_vang_65-mini.png;;/UserFiles/Image/shop/briggs_vang_65.png;99;14500;;;;;;;;;;;;;;;;;;;;;;
;Двигатель Briggs&Stratton M106200;;/UserFiles/Image/shop/m106200-mini.png;;/UserFiles/Image/shop/m106200.png;99;11990;;;;;;;;;;;;;;;;;;;;;;
;Двигатель Lianlong LL160F;;/UserFiles/Image/shop/ll-160f-mini.png;;/UserFiles/Image/shop/ll-160f.png;99;6100;;;;;;;;;;;;;;;;;;;;;;
;Двигатель Lianlong LL168F;;/UserFiles/Image/shop/ll-168f-mini.png;;/UserFiles/Image/shop/ll-168f.png;99;6500;;;;;;;;;;;;;;;;;;;;;;
;Двигатель Lianlong LL168F-1;;/UserFiles/Image/shop/ll-168f1-mini.png;;/UserFiles/Image/shop/ll-168f1.png;99;7690;;;;;;;;;;;;;;;;;;;;;;
;Двигатель Lianlong LL173F;;/UserFiles/Image/shop/LL173F-mini.png;;/UserFiles/Image/shop/LL173F.png;99;10300;;;;;;;;;;;;;;;;;;;;;;
;Двигатель Dinking DK168F;;/UserFiles/Image/shop/DK168F-mini.png;;/UserFiles/Image/shop/DK168F.png;99;6700;;;;;;;;;;;;;;;;;;;;;;
;Двигатель Dinking DK168F-1;;/UserFiles/Image/shop/DK168F-1-mini.png;;/UserFiles/Image/shop/DK168F-1.png;99;7900;;;;;;;;;;;;;;;;;;;;;;
;Двигатель Dinking DK170F;;/UserFiles/Image/shop/dk170F-mini.png;;/UserFiles/Image/shop/dk170F.png;99;8500;;;;;;;;;;;;;;;;;;;;;;
;Двигатель Dinking DK182F;;/UserFiles/Image/shop/DK182F-mini.png;;/UserFiles/Image/shop/DK182F.png;99;12900;;;;;;;;;;;;;;;;;;;;;;
Править;Шкив для двигателя;;;;;99;700;;;;;;;;;;;;;;;;;;;;;;
Править;Опора сварная для двигателя;;;;;99;700;;;;;;;;;;;;;;;;;;;;;;
;Мотопомпа Lianlong LL QDZ 40-25;;/UserFiles/Image/shop/LLQDZ40-25-mini.png;;/UserFiles/Image/shop/LLQDZ40-25.png;99;4800;;;;;;;;;;;;;;;;;;;;;;
;Мотопомпа Lianlong LL QD 50-30А;;/UserFiles/Image/shop/LLQD50-30-mini.png;;/UserFiles/Image/shop/LLQD50-30.png;99;7000;;;;;;;;;;;;;;;;;;;;;;
;Мотопомпа Lianlong LL HW 51A;;/UserFiles/Image/shop/LLHW51A-mini.png;;/UserFiles/Image/shop/LLHW51A.png;99;9000;;;;;;;;;;;;;;;;;;;;;;
;Мотопомпа Lianlong LL TW 30 для грязной воды;;/UserFiles/Image/shop/lltw30-mini.png;;/UserFiles/Image/shop/lltw30.png;99;9700;;;;;;;;;;;;;;;;;;;;;;
Править;Мотопомпа Hitachi A25EB;;;;;99;8300;;;;;;;;;;;;;;;;;;;;;;
Править;Мотопомпа Hitachi A160EA;;;;;99;14500;;;;;;;;;;;;;;;;;;;;;;
;Бензиновый генератор Lianlong LL 2,5 GF-3A;;/UserFiles/Image/shop/LL2,5GF-3ALianlong-mini.png;;/UserFiles/Image/shop/LL2,5GF-3ALianlong.png;99;12800;;;;;;;;;;;;;;;;;;;;;;
;Бензиновый генератор Lianlong LL 4,0 GF-3A;;/UserFiles/Image/shop/LL40GF-3ALianlong-mini.png;;/UserFiles/Image/shop/LL40GF-3ALianlong.png;99;16200;;;;;;;;;;;;;;;;;;;;;;
